categoryindex,category,total_workers,median_weekly_earnings,year
Total,Total,113272,860,2017
Total_Men,Men,62980,941,2017
Total_Women,Women,50291,770,2017
White_Total,White,87730,890,2017
White_Men,Men,50003,971,2017
White_Women,Women,37727,795,2017
AfroAmerican_Total,Black or African American,14521,682,2017
AfroAmerican_Men,Men,6928,710,2017
AfroAmerican_Women,Women,7593,657,2017
Asian_Total,Asian,7320,1043,2017
Asian_Men,Men,4014,1207,2017
Asian_Women,Women,3306,903,2017
Hispanic_Total,Hispanic or Latino ethnicity,19615,655,2017
Hispanic_Men,Men,11896,690,2017
Hispanic_Women,Women,7719,603,2017
Total,Total,115567,886,2018
Total_Men,Men,64142,973,2018
Total_Women,Women,51425,789,2018
White_Total,White,88953,916,2018
White_Men,Men,50570,1002,2018
White_Women,Women,38384,817,2018
AfroAmerican_Total,Black or African American,15041,694,2018
AfroAmerican_Men,Men,7282,735,2018
AfroAmerican_Women,Women,7760,654,2018
Asian_Total,Asian,7643,1095,2018
Asian_Men,Men,4169,1241,2018
Asian_Women,Women,3474,937,2018
Hispanic_Total,Hispanic or Latino ethnicity,20297,680,2018
Hispanic_Men,Men,12226,720,2018
Hispanic_Women,Women,8071,617,2018
Total,Total,109080,809,2015
Total_Men,Men,60746,895,2015
Total_Women,Women,48334,726,2015
White_Total,White,85443,835,2015
White_Men,Men,48746,920,2015
White_Women,Women,36698,743,2015
AfroAmerican_Total,Black or African American,13587,641,2015
AfroAmerican_Men,Men,6445,680,2015
AfroAmerican_Women,Women,7142,615,2015
Asian_Total,Asian,6638,993,2015
Asian_Men,Men,3684,1129,2015
Asian_Women,Women,2954,877,2015
Hispanic_Total,Hispanic or Latino ethnicity,18311,604,2015
Hispanic_Men,Men,11142,631,2015
Hispanic_Women,Women,7168,566,2015
Total,Total,"111091",832,2016
Total_Men,Men,61930,915,2016
Total_Women,Women,49161,749,2016
White_Total,White,86474,862,2016
White_Men,Men,49310,942,2016
White_Women,Women,37163,766,2016
AfroAmerican_Total,Black or African American,13963,678,2016
AfroAmerican_Men,Men,6728,718,2016
AfroAmerican_Women,Women,7235,641,2016
Asian_Total,Asian,7030,1021,2016
Asian_Men,Men,3888,1151,2016
Asian_Women,Women,3142,902,2016
Hispanic_Total,Hispanic or Latino ethnicity,18950,624,2016
Hispanic_Men,Men,11666,663,2016
Hispanic_Women,Women,7284,586,2016